ID,LotArea,Neighborhood,OverallQual,YearBuilt,Exterior1st,TotalBsmtSF,CentralAir,GrLivArea,SalePrice
House 478,8846,College Creek,5,1996,Vinyl Siding,870,Y,914,148000
House 479,11143,Somerset,8,2004,Cement Board,1580,Y,2466,340000
House 480,11394,Stone Brook,9,2010,Vinyl Siding,1856,Y,1856,394432
House 481,8123,Gilbert,6,2000,Vinyl Siding,982,Y,1800,179000
House 482,5000,South & West of Iowa State University,5,1924,Brick Face,1026,Y,1691,127000
House 483,7200,Somerset,7,2006,Vinyl Siding,1293,Y,1301,187750
House 484,9245,College Creek,7,2006,Vinyl Siding,939,Y,1797,213500
House 485,9000,Sawyer West,6,1928,Wood Siding,784,N,784,76000
House 486,53107,Clear Creek,6,1992,Hard Board,1580,Y,1953,240000
House 487,3182,Bloomington Heights,8,2004,Vinyl Siding,1256,Y,1269,192000
House 488,8410,Edwards,5,1910,Wood Siding,658,Y,1184,81000
House 489,7200,Edwards,6,1976,Metal Siding,1041,Y,1125,125000
House 490,9382,College Creek,7,1999,Vinyl Siding,1468,Y,1479,191000
House 491,12474,Northridge Heights,10,2007,Vinyl Siding,1682,Y,2332,426000
House 492,8405,Edwards,5,1900,Metal Siding,861,Y,1367,119000
House 493,12209,Mitchell,6,2001,Vinyl Siding,804,Y,1961,215000
House 494,8339,North Ames,5,1959,Metal Siding,0,Y,882,106500
House 495,7446,Brookside,4,1941,Wood Shingles,788,Y,788,100000
House 496,10134,Old Town,5,1940,Metal Siding,735,Y,1034,109000
House 497,9571,Edwards,5,1956,Wood Siding,1144,Y,1144,129000
House 498,7200,College Creek,5,1972,Metal Siding,894,Y,894,123000
House 499,7590,North Ames,5,1962,Vinyl Siding,864,Y,1812,169500
House 500,8967,Iowa DOT and Rail Road,5,1920,Metal Siding,961,Y,1077,67000
House 501,8125,Somerset,7,2006,Cement Board,1092,Y,1550,241000
House 502,14963,Veenker,8,1996,Brick Face,1260,Y,1288,245500
House 503,8767,College Creek,7,2005,Vinyl Siding,1310,Y,1310,164990
House 504,10200,Sawyer,5,1940,Wood Siding,672,Y,672,108000
House 505,12090,Northridge,8,1998,Vinyl Siding,1141,Y,2263,258000
House 506,10364,Gilbert,6,1995,Metal Siding,806,Y,1572,168000
House 507,9991,Sawyer,4,1976,Plywood,1281,Y,1620,150000
House 508,10480,South & West of Iowa State University,6,1936,Metal Siding,1064,Y,1639,115000
House 509,15576,Crawford,6,1915,Wood Siding,840,Y,1680,177000
House 510,14154,Northridge Heights,7,2006,Vinyl Siding,1063,Y,2172,280000
House 511,10800,Somerset,8,2007,Vinyl Siding,1034,Y,2078,339750
House 512,9571,Edwards,5,1958,Brick,1276,Y,1276,60000
House 513,34650,Gilbert,5,1955,Wood Siding,1056,N,1056,145000
House 514,4403,Somerset,7,2009,Metal Siding,1470,Y,1478,222000
House 515,8960,Old Town,5,1927,Wood Shingles,1008,Y,1028,115000
House 516,11228,Sawyer West,7,1993,Vinyl Siding,1080,Y,2097,228000
House 517,8899,Gilbert,7,2007,Vinyl Siding,1340,Y,1340,181134
House 518,7844,Sawyer,6,1978,Hard Board,672,Y,1400,149500
House 519,22420,Crawford,6,1918,Wood Siding,1370,N,2624,239000
House 520,8160,Edwards,5,1940,Metal Siding,756,N,1134,126000
House 521,8450,North Ames,5,1968,Vinyl Siding,1056,Y,1056,142000
House 522,7060,Mitchell,7,1997,Vinyl Siding,1344,Y,1344,206300
House 523,16635,Northwest Ames,6,1977,Cement Board,1602,Y,1602,215000
House 524,21750,Mitchell,5,1954,Hard Board,988,Y,988,113000
House 525,9200,Northridge,8,1998,Vinyl Siding,1470,Y,2630,315000
House 526,9000,North Ames,6,1956,Wood Siding,1196,Y,1196,139000
House 527,3378,Old Town,7,1946,Hard Board,651,Y,1389,135000
House 528,12800,Sawyer West,7,1989,Wood Siding,1518,Y,1644,275000
House 529,8593,North Ames,4,1957,Metal Siding,907,Y,907,109008
House 530,6762,College Creek,7,2007,Vinyl Siding,1208,Y,1208,195400
House 531,11457,Timberland,6,1988,Hard Board,1392,Y,1412,175000
House 532,1680,Briardale,6,1971,Hard Board,483,Y,987,85400
House 533,5586,Old Town,6,1920,Metal Siding,901,Y,1198,79900
House 534,1920,Briardale,5,1971,Hard Board,765,Y,1365,122500
House 535,10839,Gilbert,6,1997,Vinyl Siding,926,Y,1604,181000
House 536,1890,Meadow Village,4,1972,Cement Board,630,Y,630,81000
House 537,10667,College Creek,7,1996,Vinyl Siding,799,Y,1661,212000
House 538,4400,Old Town,6,1920,Stucco,648,Y,1118,116000
House 539,6000,Brookside,6,1926,Wood Siding,884,Y,904,119000
House 540,4280,Crawford,5,1913,Wood Shingles,440,N,694,90350
House 541,12354,Edwards,6,1920,Wood Siding,684,Y,1196,110000
House 542,15431,Northridge Heights,10,2008,Vinyl Siding,3094,Y,2402,555000
House 543,12108,Edwards,4,1955,Vinyl Siding,1440,N,1440,118000
House 544,6240,Brookside,5,1930,Metal Siding,1078,Y,1573,162900
House 545,3922,Bloomington Heights,7,2006,Wood Shingles,1258,Y,1258,172500
House 546,8750,College Creek,7,1994,Vinyl Siding,915,Y,1908,210000
House 547,9855,Edwards,6,1956,Wood Siding,1436,Y,1689,127500
House 548,16492,North Ames,6,1966,Brick Face,1517,Y,1888,190000
House 549,11214,Gilbert,7,1998,Vinyl Siding,930,Y,1886,199900
House 550,8600,Iowa DOT and Rail Road,6,1937,Metal Siding,780,Y,1376,119500
House 551,6000,Old Town,3,1948,Metal Siding,649,Y,1183,120000
House 552,5684,Old Town,6,1930,Wood Siding,813,Y,813,110000
House 553,70761,Clear Creek,7,1975,Plywood,1533,Y,1533,280000
House 554,9303,Timberland,6,1996,Vinyl Siding,872,Y,1756,204000
House 555,9000,Somerset,8,2008,Vinyl Siding,768,Y,1590,210000
House 556,9297,Mitchell,5,1976,Plywood,1728,Y,1728,188000
House 557,9600,Northwest Ames,7,1973,Hard Board,1242,Y,1242,175500
House 558,4571,Old Town,5,1916,Asbestos Shingles,624,N,1344,98000
House 559,53227,Clear Creek,4,1954,Plywood,1364,Y,1663,256000
House 560,5100,Old Town,8,1925,Stucco,588,Y,1666,161000
House 561,7015,Brookside,5,1950,Metal Siding,709,Y,1203,110000
House 562,8004,Somerset,8,2009,Vinyl Siding,832,Y,1935,263435
House 563,7200,South & West of Iowa State University,7,1936,Wood Siding,560,Y,1135,155000
House 564,8281,Sawyer,5,1965,Metal Siding,864,Y,864,62383
House 565,11988,Crawford,6,1934,Stucco,715,Y,1660,188700
House 566,8430,College Creek,5,1978,Hard Board,1040,Y,1040,124000
House 567,3072,Bloomington Heights,7,2004,Vinyl Siding,1375,Y,1414,178740
House 568,10628,North Ames,7,1970,Plywood,1277,Y,1277,167000
House 569,9480,North Ames,5,1942,Metal Siding,728,Y,1644,146500
House 570,11428,Northridge Heights,8,2006,Vinyl Siding,1626,Y,1634,250000
House 571,9291,Sawyer West,6,1993,Hard Board,832,Y,1710,187000
House 572,6820,Stone Brook,8,1985,Hard Board,1488,Y,1502,212000
House 573,11952,Northwest Ames,7,1977,Wood Shingles,808,Y,1969,190000
House 574,3675,Edwards,6,2005,Vinyl Siding,547,Y,1072,148000
House 575,14977,Northridge Heights,8,2006,Vinyl Siding,1976,Y,1976,440000
House 576,5330,Stone Brook,8,2000,Cement Board,1494,Y,1652,251000
House 577,8480,Sawyer,5,1963,Hard Board,970,Y,970,132500
House 578,13125,College Creek,6,1997,Vinyl Siding,1478,Y,1493,208900
House 579,13693,Northridge Heights,9,2006,Vinyl Siding,2153,Y,2643,380000
House 580,10637,College Creek,8,2007,Vinyl Siding,1705,Y,1718,297000
House 581,5925,Old Town,4,1937,Stucco,907,Y,1131,89471
House 582,16033,Northridge Heights,9,2004,Vinyl Siding,1833,Y,1850,326000
House 583,11846,Northridge Heights,9,2003,Vinyl Siding,1792,Y,1792,374000
House 584,2500,Old Town,7,1915,Stucco,910,Y,1826,155000
House 585,4500,Mitchell,6,1998,Vinyl Siding,1216,Y,1216,164000
House 586,7758,Sawyer,5,1962,Hard Board,999,Y,999,132500
House 587,9600,North Ames,5,1950,Metal Siding,1113,Y,1113,147000
House 588,10289,North Ames,5,1965,Metal Siding,1073,Y,1073,156000
House 589,12243,Northwest Ames,5,1971,Plywood,1484,Y,1484,175000
House 590,10800,Old Town,5,1900,Wood Siding,954,N,2414,160000
House 591,1526,Meadow Village,4,1970,Cement Board,630,Y,630,86000
House 592,2665,Meadow Village,5,1976,Cement Board,264,Y,1304,115000
House 593,9490,North Ames,6,1941,Wood Siding,806,Y,1578,133000
House 594,15578,Gilbert,6,2006,Vinyl Siding,728,Y,1456,172785
House 595,7931,North Ames,5,1960,Brick Face,1269,Y,1269,155000
House 596,5784,Old Town,5,1938,Metal Siding,190,Y,886,91300
House 597,7879,Iowa DOT and Rail Road,4,1920,Wood Siding,720,N,720,34900
House 598,12692,Northridge,8,1992,Brick Face,3200,Y,3228,430000
House 599,9120,Brookside,7,1925,Wood Siding,1026,Y,1820,184000
House 600,7800,Sawyer,5,1967,Hard Board,864,Y,899,130000
House 601,7535,North Ames,5,1958,Metal Siding,912,Y,912,120000
House 602,1890,Briardale,6,1973,Hard Board,672,Y,1218,113000
House 603,9803,Somerset,7,2005,Vinyl Siding,866,Y,1768,226700
House 604,9170,Edwards,5,1965,Metal Siding,1214,Y,1214,140000
House 605,15602,Crawford,7,1959,Brick Face,1501,Y,1801,289000
House 606,2308,Northpark Villa,6,1974,Plywood,855,Y,1322,147000
House 607,7596,Old Town,5,1952,Wood Siding,960,Y,1960,124500
House 608,9554,Sawyer West,8,1993,Vinyl Siding,777,Y,1911,215000
House 609,7862,Somerset,6,2009,Vinyl Siding,1218,Y,1218,208300
House 610,9600,Old Town,7,1928,Metal Siding,689,Y,1378,161000
House 611,9600,North Ames,5,1959,Metal Siding,1041,Y,1041,124500
House 612,14559,North Ames,5,1951,Wood Siding,1008,Y,1363,164900
House 613,6792,Northridge Heights,7,2005,Vinyl Siding,1368,Y,1368,202665
House 614,9100,North Ames,5,1958,Vinyl Siding,864,Y,864,129900
House 615,9187,Mitchell,6,1983,Vinyl Siding,1084,Y,1080,134000
House 616,10594,Crawford,5,1926,Wood Siding,768,N,789,96500
House 617,12220,Northridge Heights,10,2009,Cement Board,2006,Y,2020,402861
House 618,10448,Northwest Ames,6,1972,Hard Board,689,Y,2119,158000
House 619,10208,Northridge,7,1996,Vinyl Siding,1264,Y,2344,265000
House 620,9531,College Creek,6,1998,Vinyl Siding,794,Y,1796,211000
House 621,10918,Crawford,7,1926,Metal Siding,1276,Y,2080,234000
House 622,10800,Old Town,4,1900,Metal Siding,0,N,1294,106250
House 623,11988,North Ames,6,1957,Vinyl Siding,1244,Y,1244,150000
House 624,5000,Brookside,6,1947,Cement Board,1004,Y,1664,159000
House 625,40094,Edwards,10,2007,Cement Board,3138,Y,4676,184750
House 626,11787,Northridge,7,1996,Vinyl Siding,1379,Y,2398,315750
House 627,7500,Somerset,7,2005,Vinyl Siding,1257,Y,1266,176000
House 628,13300,North Ames,5,1956,Wood Siding,928,Y,928,132000
House 629,14948,Northridge Heights,9,2008,Vinyl Siding,1452,Y,2713,446261
House 630,9098,Edwards,4,1920,Wood Siding,528,Y,605,86000
House 631,32668,Crawford,6,1957,Wood Siding,2035,Y,2515,200624
House 632,10200,Timberland,6,1988,Hard Board,1461,Y,1509,175000
House 633,6155,Brookside,6,1920,Wood Siding,611,Y,1362,128000
House 634,7200,North Ames,5,1955,Vinyl Siding,0,Y,827,107500
House 635,5000,Brookside,1,1946,Vinyl Siding,0,N,334,39300
House 636,9056,Gilbert,8,2004,Vinyl Siding,707,Y,1414,178000
House 637,7000,Edwards,5,1910,Metal Siding,1117,Y,1347,107500
House 638,8924,College Creek,7,1998,Vinyl Siding,880,Y,1724,188000
House 639,12735,North Ames,4,1972,Metal Siding,864,Y,864,111250
House 640,11553,Sawyer,5,1968,Plywood,1051,Y,1159,158000
House 641,11423,College Creek,8,2001,Vinyl Siding,1581,Y,1601,272000
House 642,14601,Timberland,9,2006,Vinyl Siding,1838,Y,1838,315000
House 643,11000,Northridge,8,2000,Vinyl Siding,969,Y,2285,248000
House 644,10140,Northwest Ames,7,1998,Vinyl Siding,1650,Y,1680,213250
House 645,4058,North Ames,7,1998,Metal Siding,723,Y,767,133000
House 646,17104,Gilbert,7,2006,Vinyl Siding,654,Y,1496,179665
House 647,13837,Northwest Ames,7,1988,Hard Board,1204,Y,2183,229000
House 648,8737,Brookside,6,1923,Brick Face,1065,Y,1635,210000
House 649,7244,Mitchell,5,1970,Vinyl Siding,768,Y,768,129500
House 650,8235,Old Town,5,1955,Metal Siding,825,Y,825,125000
House 651,9375,Somerset,7,2003,Vinyl Siding,912,Y,2094,263000
House 652,4043,Northpark Villa,6,1977,Plywood,1069,Y,1069,140000
House 653,6000,Old Town,5,1957,Brick Face,928,Y,928,112500
House 654,11146,Northridge Heights,8,2006,Vinyl Siding,1709,Y,1717,255500
House 655,8777,Edwards,4,1949,Vinyl Siding,0,Y,1126,108000
House 656,10625,Northridge Heights,7,2003,Vinyl Siding,998,Y,2046,284000
House 657,6380,Brookside,5,1922,Metal Siding,993,Y,1048,113000
House 658,14850,North Ames,5,1957,Wood Siding,1092,Y,1092,141000
House 659,11040,Iowa DOT and Rail Road,4,1920,Metal Siding,637,Y,1336,108000
House 660,21872,Gilbert,7,1996,Hard Board,729,Y,1446,175000
House 661,3196,Bloomington Heights,7,2003,Vinyl Siding,1374,Y,1557,234000
House 662,11341,Sawyer,5,1957,Wood Siding,1392,Y,1392,121500
House 663,10010,Mitchell,5,1974,Hard Board,1389,Y,1389,170000
House 664,13907,Edwards,5,1940,Wood Shingles,996,Y,996,108000
House 665,21780,Edwards,6,1918,Wood Siding,1163,Y,1674,185000
House 666,13346,Northridge,7,1992,Hard Board,1095,Y,2295,268000
House 667,6858,South & West of Iowa State University,6,1915,Wood Siding,806,N,1647,128000
House 668,11198,Stone Brook,9,2005,Vinyl Siding,1122,Y,2504,325000
House 669,10171,Northridge Heights,7,2004,Vinyl Siding,1517,Y,1535,214000
House 670,12327,Sawyer West,8,1983,Wood Siding,1496,Y,2132,316600
House 671,7032,North Ames,5,1979,Metal Siding,943,Y,943,135960
House 672,13101,North Ames,5,1965,Hard Board,1728,Y,1728,142600
House 673,7332,North Ames,6,1959,Wood Shingles,864,Y,864,120000
House 674,13159,Timberland,7,2009,Vinyl Siding,846,Y,1692,224500
House 675,9967,Gilbert,7,2000,Vinyl Siding,384,Y,1430,170000
House 676,10500,North Ames,5,1971,Metal Siding,372,Y,1109,139000
House 677,8480,North Ames,5,1947,Metal Siding,832,Y,1216,118500
House 678,6292,South & West of Iowa State University,7,1928,Wood Siding,861,Y,1477,145000
House 679,11777,Sawyer,5,1966,Vinyl Siding,1164,Y,1320,164500
House 680,3604,Somerset,7,2007,Vinyl Siding,689,Y,1392,146000
House 681,12150,Old Town,5,1954,Metal Siding,1050,N,1795,131500
House 682,14585,North Ames,6,1960,Wood Siding,1144,Y,1429,181900
House 683,12704,Northridge Heights,8,2008,Vinyl Siding,2042,Y,2042,253293
House 684,11841,Edwards,6,1990,Hard Board,816,Y,816,118500
House 685,13500,Old Town,10,1893,Wood Siding,1237,Y,2775,325000
House 686,6120,Brookside,4,1935,Asbestos Shingles,884,Y,1573,133000
House 687,11443,Timberland,8,2005,Vinyl Siding,1868,Y,2028,369900
House 688,10267,Brookside,6,1918,Stucco,816,Y,838,130000
House 689,8740,Sawyer,5,1982,Hard Board,840,Y,860,137000
House 690,25095,Clear Creek,5,1968,Wood Siding,1437,Y,1473,143000
House 691,9100,Brookside,5,1930,Vinyl Siding,742,Y,935,79500
House 692,8320,College Creek,7,2004,Vinyl Siding,770,Y,1582,185900
House 693,13478,Northridge Heights,10,2008,Cement Board,1722,Y,2296,451950
House 694,6600,Mitchell,5,1982,Hard Board,816,Y,816,138000
House 695,4435,College Creek,6,2003,Vinyl Siding,848,Y,848,140000
House 696,7990,College Creek,5,1975,Hard Board,924,Y,924,110000
House 697,11302,Stone Brook,8,2005,Vinyl Siding,1814,Y,1826,319000
House 698,3600,Old Town,6,1910,Vinyl Siding,684,N,1368,114504
House 699,3922,Bloomington Heights,7,2006,Vinyl Siding,1258,Y,1402,194201
House 700,12984,Crawford,5,1977,Plywood,1430,Y,1647,217500
House 701,1950,Bluestem,6,1980,Metal Siding,716,Y,1556,151000
House 702,10927,Northridge Heights,8,2005,Vinyl Siding,1058,Y,1904,275000
House 703,9000,Iowa DOT and Rail Road,6,1937,Wood Siding,780,Y,1375,141000
House 704,10041,Sawyer West,8,1992,Hard Board,908,Y,1915,220000
House 705,3182,Somerset,7,2004,Metal Siding,600,Y,1200,151000
House 706,12803,College Creek,7,2002,Vinyl Siding,1494,Y,1494,221000
House 707,13600,North Ames,7,1965,Hard Board,768,Y,1986,205000
House 708,12464,College Creek,5,1996,Vinyl Siding,1040,Y,1040,152000
House 709,7800,Edwards,5,1948,Metal Siding,896,Y,2008,225000
House 710,12168,Crawford,8,1934,Brick Face,965,Y,3194,359100
House 711,7943,Sawyer,4,1961,Vinyl Siding,1029,Y,1029,118500
House 712,11050,College Creek,9,2000,Vinyl Siding,1440,Y,2153,313000
House 713,10395,Northwest Ames,6,1978,Hard Board,1032,Y,1032,148000
House 714,11885,College Creek,8,2001,Vinyl Siding,1299,Y,1872,261500
House 715,8402,Mitchell,5,2007,Vinyl Siding,1120,Y,1120,147000
House 716,1491,Meadow Village,4,1972,Cement Board,630,Y,630,75500
House 717,8800,North Ames,6,1963,Metal Siding,936,Y,1054,137500
House 718,7861,Gilbert,6,2002,Vinyl Siding,783,Y,1509,183200
House 719,7227,North Ames,6,1954,Metal Siding,832,Y,832,105500
House 720,11694,Northridge Heights,9,2007,Cement Board,1822,Y,1828,314813
House 721,12244,Timberland,8,2003,Vinyl Siding,1482,Y,2262,305000
House 722,8248,Edwards,3,1914,Stucco,864,N,864,67000
House 723,10800,Northwest Ames,6,1974,Hard Board,1522,Y,2614,240000
House 724,7064,Sawyer,5,1977,Plywood,980,Y,980,135000
House 725,2117,Somerset,6,2000,Metal Siding,756,Y,1512,168500
House 726,10400,Northwest Ames,6,1972,Vinyl Siding,732,Y,1790,165150
House 727,10000,North Ames,6,1962,Wood Siding,1116,Y,1116,160000
House 728,12342,North Ames,5,1960,Wood Siding,978,Y,1422,139900
House 729,9600,North Ames,6,1955,Asbestos Shingles,1156,Y,1520,153000
House 730,11606,North Ames,5,1969,Plywood,1040,Y,2080,135000
House 731,9020,North Ames,6,1964,Plywood,1248,Y,1350,168500
House 732,9000,Old Town,5,1880,Vinyl Siding,636,Y,1750,124000
House 733,4590,Northridge Heights,8,2006,Vinyl Siding,1554,Y,1554,209500
House 734,11900,Northwest Ames,7,1977,Plywood,1386,Y,1411,82500
House 735,9250,North Ames,5,1954,Wood Siding,1056,Y,1056,139400
House 736,6979,Old Town,6,1980,Plywood,1056,Y,1056,144000
House 737,10896,South & West of Iowa State University,6,1914,Vinyl Siding,1440,Y,3395,200000
House 738,6120,Brookside,2,1936,Asbestos Shingles,264,N,800,60000
House 739,6000,Old Town,5,1954,Wood Siding,811,Y,1387,93000
House 740,8777,Edwards,5,1910,Metal Siding,796,Y,796,85000
House 741,3982,Bloomington Heights,8,2006,Vinyl Siding,1520,Y,1567,264561
House 742,12677,Northridge Heights,8,2003,Metal Siding,1518,Y,1518,274000
House 743,7050,Somerset,7,2001,Vinyl Siding,1057,Y,1929,226000
House 744,13860,North Ames,8,1972,Plywood,1952,Y,2704,345000
House 745,10793,Northwest Ames,5,1969,Wood Shingles,780,Y,1620,152000
House 746,9187,Somerset,9,2009,Cement Board,1766,Y,1766,370878
House 747,10530,North Ames,6,1971,Plywood,981,Y,981,143250
House 748,7200,North Ames,5,1950,Metal Siding,0,Y,1048,98300
House 749,10452,Edwards,6,1953,Wood Siding,1094,Y,1094,155000
House 750,7700,North Ames,6,1966,Metal Siding,756,Y,1839,155000
House 751,1936,Meadow Village,4,1970,Cement Board,630,Y,630,84500
House 752,8125,Somerset,7,2007,Cement Board,813,Y,1665,205950
House 753,9084,Edwards,4,1940,Metal Siding,755,Y,1510,108000
House 754,8750,College Creek,7,1996,Vinyl Siding,880,Y,1716,191000
House 755,10320,Iowa DOT and Rail Road,6,1906,Metal Siding,756,Y,1469,135000
House 756,10437,Northridge,8,1995,Metal Siding,2109,Y,2113,350000
House 757,1680,Briardale,6,1971,Hard Board,525,Y,1092,88000
House 758,10007,North Ames,5,1959,Hard Board,1053,Y,1053,145500
House 759,7200,Crawford,7,1931,Stucco,776,Y,1502,149000
House 760,17503,North Ames,6,1948,Vinyl Siding,912,Y,1458,97500
House 761,9937,Edwards,5,1964,Metal Siding,1486,Y,1486,167000
House 762,12384,Northwest Ames,7,1976,Plywood,793,Y,1935,197900
House 763,46589,Northridge,8,1994,Vinyl Siding,1629,Y,2448,402000
House 764,13560,North Ames,6,1968,Wood Siding,1392,Y,1392,110000
House 765,10012,Edwards,4,1972,Plywood,1138,Y,1181,137500
House 766,20896,Somerset,8,2005,Vinyl Siding,2077,Y,2097,423000
House 767,11194,Gilbert,8,2000,Vinyl Siding,1406,Y,1936,230500
House 768,18450,North Ames,6,1965,Plywood,1021,Y,2380,129000
House 769,8125,Sawyer West,6,1994,Hard Board,1408,Y,1679,193500
House 770,14175,Sawyer,5,1956,Cement Board,1188,Y,1437,168000
House 771,11600,Crawford,4,1922,Metal Siding,700,Y,1180,137500
House 772,8633,College Creek,6,2005,Vinyl Siding,738,Y,1476,173500
House 773,6629,Edwards,6,1925,Wood Siding,672,N,1369,103600
House 774,11250,Veenker,6,1977,Plywood,1208,Y,1208,165000
House 775,14442,Crawford,6,1957,Cement Board,1477,Y,1839,257500
House 776,9200,North Ames,6,1965,Hard Board,1136,Y,1136,140000
House 777,2289,Northpark Villa,6,1978,Plywood,855,Y,1441,148500
House 778,9600,Old Town,4,1900,Asbestos Shingles,1095,N,1774,87000
House 779,9022,Old Town,5,1924,Vinyl Siding,768,Y,792,109500
House 780,11844,Stone Brook,8,2008,Vinyl Siding,2046,Y,2046,372500
House 781,9945,Sawyer,5,1961,Wood Siding,988,Y,988,128500
House 782,8012,Sawyer West,6,1980,Plywood,923,Y,923,143000
House 783,4500,South & West of Iowa State University,5,1932,Vinyl Siding,793,Y,1520,159434
House 784,2887,Clear Creek,6,1996,Wood Siding,1291,Y,1291,173000
House 785,11248,College Creek,9,2002,Vinyl Siding,1626,Y,1668,285000
House 786,16770,Northridge,7,1998,Vinyl Siding,1195,Y,1839,221000
House 787,5062,Stone Brook,7,1984,Hard Board,1190,Y,2090,207500
House 788,10207,Somerset,7,2007,Vinyl Siding,874,Y,1761,227875
House 789,5105,Somerset,7,2004,Metal Siding,551,Y,1102,148800
House 790,8089,Stone Brook,8,2007,Metal Siding,1419,Y,1419,392000
House 791,7577,Northridge Heights,6,2005,Vinyl Siding,1362,Y,1362,194700
House 792,4426,College Creek,6,2004,Vinyl Siding,848,Y,848,141000
House 793,21535,Northridge,10,1994,Hard Board,2444,Y,4316,755000
House 794,26178,Timberland,7,1989,Metal Siding,1210,Y,2519,335000
House 795,5400,Old Town,5,1921,Metal Siding,1073,Y,1073,108480
House 796,6120,Brookside,5,1936,Wood Siding,927,Y,1539,141500
House 797,13811,Timberland,6,1987,Hard Board,1112,Y,1137,176000
House 798,6000,Brookside,5,1921,Wood Siding,616,Y,616,89000
House 799,6420,Edwards,5,1952,Wood Siding,980,Y,1148,123500
House 800,8450,Sawyer,5,1965,Metal Siding,894,Y,894,138500
House 801,4282,Somerset,7,2004,Metal Siding,1391,Y,1391,196000
House 802,14331,Timberland,8,2002,Vinyl Siding,1800,Y,1800,312500
House 803,9600,Northwest Ames,7,1969,Hard Board,1164,Y,1164,140000
House 804,12438,Stone Brook,8,2006,Vinyl Siding,1234,Y,2576,361919
House 805,7630,Old Town,5,1900,Wood Siding,360,Y,1812,140000
House 806,8400,College Creek,7,2004,Vinyl Siding,1473,Y,1484,213000
House 807,5600,Iowa DOT and Rail Road,4,1930,Vinyl Siding,0,N,1092,55000
House 808,115149,Clear Creek,7,1971,Plywood,1643,Y,1824,302000
House 809,6240,Northridge Heights,8,2006,Metal Siding,1324,Y,1324,254000
House 810,9018,Gilbert,7,2007,Vinyl Siding,728,Y,1456,179540
House 811,7162,Sawyer,5,1966,Hard Board,876,Y,904,109900
House 812,4130,Brookside,3,1935,Vinyl Siding,270,Y,729,52000
House 813,8712,Iowa DOT and Rail Road,4,1900,Metal Siding,859,Y,1178,102776
House 814,4671,Stone Brook,8,1988,Hard Board,1228,Y,1228,189000
House 815,9873,Brookside,4,1970,Hard Board,960,N,960,129000
House 816,13517,Sawyer,6,1976,Hard Board,725,Y,1479,130500
House 817,10140,Northwest Ames,6,1974,Hard Board,1064,Y,1350,165000
House 818,10800,Old Town,7,1890,Wood Siding,718,Y,2554,159500
House 819,10000,Northwest Ames,5,1973,Hard Board,1176,Y,1178,157000
House 820,10542,Northridge,7,1993,Wood Siding,1311,Y,2418,341000
House 821,9920,College Creek,5,1969,Hard Board,971,Y,971,128500
House 822,6563,Stone Brook,8,1985,Hard Board,1742,Y,1742,275000
House 823,4426,College Creek,6,2004,Vinyl Siding,848,Y,848,143000
House 824,8120,North Ames,4,1970,Metal Siding,864,Y,864,124500
House 825,8172,Edwards,4,1954,Metal Siding,941,Y,1470,135000
House 826,13286,Edwards,9,2007,Cement Board,1698,Y,1698,320000
House 827,6960,North Ames,4,1970,Hard Board,864,Y,864,120500
House 828,21695,Crawford,6,1988,Wood Siding,880,Y,1680,222000
House 829,7314,College Creek,7,2007,Vinyl Siding,1232,Y,1232,194500
House 830,11475,North Ames,5,1958,Vinyl Siding,1584,Y,1776,110000
House 831,6240,Iowa DOT and Rail Road,4,1925,Metal Siding,780,Y,1208,103000
House 832,5389,Stone Brook,8,1995,Cement Board,1595,Y,1616,236500
House 833,9590,Timberland,7,2003,Vinyl Siding,868,Y,1146,187500
House 834,11404,College Creek,7,1998,Vinyl Siding,1153,Y,2031,222500
House 835,10000,Sawyer,5,1961,Hard Board,864,Y,1144,131400
House 836,8978,Sawyer,5,1968,Plywood,948,Y,948,108000
House 837,10800,Old Town,7,1914,Wood Siding,880,N,1768,163000
House 838,8544,North Ames,3,1950,Stucco,0,N,1040,93500
House 839,10463,Gilbert,8,2005,Vinyl Siding,893,Y,1801,239900
House 840,10800,Edwards,5,1987,Plywood,1200,Y,1200,179000
House 841,9313,College Creek,7,2004,Vinyl Siding,864,Y,1728,190000
House 842,9600,Old Town,5,1910,Wood Siding,264,Y,1432,132000
House 843,6768,Sawyer,6,1961,Hard Board,912,Y,912,142000
House 844,8450,Sawyer West,7,2000,Vinyl Siding,1349,Y,1349,179000
House 845,12886,Sawyer,5,1963,Hard Board,520,Y,1464,175000
House 846,5395,Stone Brook,8,1993,Hard Board,1337,Y,1337,180000
House 847,8963,Northwest Ames,8,1976,Vinyl Siding,1142,Y,2715,299800
House 848,8795,Gilbert,7,2000,Vinyl Siding,952,Y,2256,236000
House 849,11700,Old Town,7,1880,Stucco,1240,N,2640,265979
House 850,10593,Northridge,7,1996,Vinyl Siding,1720,Y,1720,260400
House 851,8405,Edwards,4,1945,Wood Shingles,0,N,1529,98000
House 852,8800,Old Town,4,1910,Wood Siding,576,Y,1140,96500
House 853,7750,Gilbert,7,2003,Vinyl Siding,660,Y,1320,162000
House 854,9236,College Creek,6,1997,Vinyl Siding,1479,Y,1494,217000
House 855,10240,Northridge Heights,8,2005,Vinyl Siding,1030,Y,2098,275500
House 856,7930,North Ames,6,1969,Plywood,1026,Y,1026,156000
House 857,3230,Somerset,6,1999,Metal Siding,729,Y,1471,172500
